date,rank,handle,current_followers,comparison_followers,follower_change_30d_plus,growth_percent_30d_plus,comparison_date,comparison_days,comparison_source,current_total_posts,posts_since_previous_snapshot,previous_post_snapshot_date,ahead_of_nba,ahead_of_target
2026-09-21,1,tahnee.sheehan,88333,,,,,,,1971,2,2026-09-14,yes,yes
2026-09-21,2,donnaatkins_theposingcoach,20390,,,,,,,1562,9,2026-09-14,yes,yes
2026-09-21,3,natkitneyposingcoach,19178,,,,,,,6388,18,2026-09-14,yes,yes
2026-09-21,4,australianposingschool,10484,,,,,,,2358,19,2026-09-14,yes,yes
2026-09-21,5,theposinginstitute,9491,,,,,,,1174,19,2026-09-14,yes,yes
2026-09-21,6,internationalposingacademy,7645,,,,,,,794,14,2026-09-14,yes,yes
2026-09-21,7,wf.coaching,3581,,,,,,,1180,6,2026-09-14,yes,yes
2026-09-21,8,melgreen_coaching,2874,,,,,,,743,2,2026-09-14,yes,yes
2026-09-21,9,personalisedposing,2081,,,,,,,194,5,2026-09-14,no,no
