"handle","name","profile_url","group","active"
"givingtablebylilianasanelli","The Giving Table by Liliana Sanelli","https://www.instagram.com/givingtablebylilianasanelli/","The Giving Table","yes"
"perfecteventsoz","Perfect Events","https://www.instagram.com/perfecteventsoz/","Event Competitor","yes"
