date,rank,handle,current_followers,comparison_followers,follower_change_30d_plus,growth_percent_30d_plus,comparison_date,comparison_days,comparison_source,current_total_posts,posts_since_previous_snapshot,previous_post_snapshot_date,ahead_of_nba,ahead_of_target
2026-09-21,1,perfecteventsoz,11940,,,,,,,2428,6,2026-09-14,yes,yes
2026-09-21,2,givingtablebylilianasanelli,425,,,,,,,89,6,2026-09-14,no,no
