date,collected_at,handle,followers,follower_precision,follower_source,total_posts,status,source,profile_url
2026-09-13,2026-09-13T08:39:15,givingtablebylilianasanelli,397,exact,apify,83,ok,apify_instagram_scraper,https://www.instagram.com/givingtablebylilianasanelli/
2026-09-13,2026-09-13T08:39:15,perfecteventsoz,11675,exact,apify,2422,ok,apify_instagram_scraper,https://www.instagram.com/perfecteventsoz/
2026-09-14,2026-09-14T02:45:08,givingtablebylilianasanelli,397,exact,apify,83,ok,apify_instagram_scraper,https://www.instagram.com/givingtablebylilianasanelli/
2026-09-14,2026-09-14T02:45:08,perfecteventsoz,11712,exact,apify,2422,ok,apify_instagram_scraper,https://www.instagram.com/perfecteventsoz/
